"question","value"
"Ctrl_habitat : total merge actions","41"
"Ctrl_locality : total merge actions","22"
"Ctrl_municipality : total merge actions","15"
"Ctrl_stateProvince : total merge actions","13"
"Ctrl_fieldNotes : total merge actions","12"
"Ctrl_year : total merge actions","11"
"Ctrl_eventDate : total merge actions","11"
"Ctrl_level0Name : total merge actions","2"
"Ctrl_level1Name : total merge actions","2"
"Ctrl_level2Name : total merge actions","2"
"Ctrl_level3Name : total merge actions","1"
"Ctrl_countryCode : total merge actions","0"
